State,Year,Transportation (MtCO2e),State GDP (Million US$ (chained 1997/2005)),Population (People),Transit Ridership,Highway use of gasoline (thousand gallons),Highway vehicle-miles traveled (millions),Vehicles,sq mi,tempHigh
Kentucky,1996,29.49447792,97781.0,3919535,22300534.0,1776376.0,42586.0,2742090.0,39486.34,65.1
Louisiana,1996,60.77204619,121489.0,4398877,80744311.0,2089414.0,38095.0,3360220.0,43203.9,76.7
Maine,1996,7.994920089,29627.0,1249060,2652130.0,619194.0,12819.0,967127.0,30842.92,50.6
Maryland,1996,27.08096597,147889.0,5111986,120866963.0,2160380.0,46033.0,3697160.0,9707.24,62.8
Massachusetts,1996,31.56639174,214299.0,6179756,345399329.0,2497197.0,49956.0,4736460.0,7800.06,57.0
Michigan,1996,57.46321313,273563.0,9758645,81134978.0,4565162.0,90215.0,8001860.0,56538.9,52.3
Minnesota,1996,32.27630027,147643.0,4712827,68110696.0,2260715.0,44465.0,3794750.0,79626.74,48.0
Mississippi,1996,24.653862300000004,58230.0,2748085,1477441.0,1408108.0,30562.0,2185160.0,46923.27,74.3
Missouri,1996,42.6428769,150268.0,5431553,68103905.0,2862072.0,61162.0,4387600.0,68741.52,63.7
Montana,1996,7.2573279820000005,18342.0,886254,1698370.0,466331.0,9446.0,973961.0,145545.8,51.1
Nebraska,1996,13.25565919,49276.0,1673740,6575304.0,787102.0,16238.0,1487570.0,76824.17,58.8
Nevada,1996,13.31341292,55725.0,1666320,47183073.0,788368.0,15993.0,1069570.0,109781.18,65.1
New Hampshire,1996,6.293410666000001,34858.0,1174719,1130400.0,576689.0,10987.0,1130650.0,8952.65,53.2
New Jersey,1996,61.632004099999996,283608.0,8149596,326210404.0,3581653.0,62334.0,5872810.0,7354.22,61.2
New Mexico,1996,13.54372699,44604.0,1752326,7888064.0,824769.0,21510.0,1496550.0,121298.15,70.0
New York,1996,70.13173742,634107.0,18588460,2399474795.0,5438243.0,118641.0,10735490.0,47126.4,54.0
North Carolina,1996,48.20334178,206757.0,7500670,30830130.0,3647165.0,78935.0,5819100.0,48617.91,68.6
North Dakota,1996,5.49626678,16508.0,650382,834285.0,340626.0,6741.0,694613.0,69000.8,47.4
Ohio,1996,66.16269606,315189.0,11242827,139885666.0,4788108.0,103090.0,9894350.0,40860.69,59.3
Oklahoma,1996,28.17715671,77538.0,3340129,6347657.0,1785202.0,39427.0,3084350.0,68594.92,71.3
Oregon,1996,23.07678001,93489.0,3247111,83066479.0,1451246.0,30319.0,2815980.0,95988.01,59.0
Pennsylvania,1996,66.27036213,330321.0,12220464,421586581.0,4752148.0,96646.0,8638210.0,44742.7,57.4
Rhode Island,1996,4.423582286,27006.0,1020893,14714690.0,376228.0,7120.0,699784.0,1033.81,58.0
South Carolina,1996,24.66896119,91716.0,3796200,6952177.0,1969738.0,39756.0,2827120.0,30060.7,73.3
South Dakota,1996,5.8388866429999995,19410.0,742213,849503.0,403685.0,7817.0,713151.0,75811.0,53.0
Tennessee,1996,40.49299474,145391.0,5416643,25518205.0,2683524.0,58435.0,4884130.0,41234.9,67.5
Texas,1996,173.77775640000002,562107.0,19340342,220611586.0,9358859.0,185386.0,13710380.0,261231.71,78.4
Utah,1996,14.26718713,52980.0,2067976,25317908.0,874654.0,19539.0,1478900.0,82169.62,62.6
Vermont,1996,3.924774029,14839.0,593701,1627718.0,304259.0,6377.0,509696.0,9216.66,51.8
Virginia,1996,45.49262748,201703.0,6750884,44606146.0,3293505.0,71302.0,5629460.0,39490.09,64.6
Washington,1996,46.50544452,169162.0,5569753,160520580.0,2559086.0,49405.0,4584820.0,66455.52,55.2
West Virginia,1996,11.61776776,37750.0,1822808,3084096.0,787024.0,17693.0,1432210.0,24038.21,61.2
Wisconsin,1996,29.75241342,144558.0,5229986,83639258.0,2319012.0,52782.0,4042030.0,54157.8,50.7
Wyoming,1996,7.047666123,15968.0,488167,212584.0,312216.0,7360.0,550555.0,97093.14,54.0
United States,1996,1820.218096,7871721.0,269394284,7564570834.0,119514718.0,2484080.0,206569650.0,3531905.43,63.71
Alabama,1997,32.98963652,122541.0,4367935,30766361.0,2303025.0,53458.0,3669440.0,50645.33,73.5
Alaska,1997,13.72476399,37249.0,612968,3290397.0,259191.0,4387.0,542398.0,570640.95,36.0
Arizona,1997,29.32201506,141474.0,4736990,53644217.0,2038874.0,43491.0,3143140.0,113594.08,74.5
Arkansas,1997,20.38797914,71547.0,2601090,5538620.0,1368546.0,28076.0,1633830.0,52035.48,70.4
California,1997,209.2783682,1190161.0,32486010,1182133393.0,13492400.0,279096.0,24944980.0,155779.22,71.5
Colorado,1997,24.07446161,157345.0,4018293,77996511.0,1817808.0,37746.0,3522590.0,103641.89,58.1
Connecticut,1997,16.21849382,164027.0,3349348,41222765.0,1330775.0,28552.0,2659520.0,4842.36,58.8
Delaware,1997,4.950119077,41934.0,751487,7413311.0,353687.0,8008.0,613701.0,1948.54,64.9
Florida,1997,95.34791762,478036.0,15186304,175776980.0,6677385.0,134027.0,10874030.0,53624.76,81.6
Georgia,1997,60.65783737,281022.0,7685099,181752569.0,4217906.0,93530.0,6242210.0,57513.49,74.4
Hawaii,1997,8.730661191,48395.0,1211640,69285097.0,382944.0,7947.0,692804.0,6422.63,
Idaho,1997,8.604314465,30989.0,1228520,1714963.0,586629.0,12880.0,1081050.0,82643.12,54.7
Illinois,1997,61.45659865,488044.0,12185715,565483186.0,4705717.0,99319.0,8442820.0,55518.93,60.7
Indiana,1997,45.62920563,198279.0,5955267,27196742.0,2905263.0,68633.0,5345780.0,35826.11,60.3
Iowa,1997,19.55061863,96790.0,2891119,13672571.0,1433765.0,27984.0,2851380.0,55857.13,57.1
Kansas,1997,19.64949043,88739.0,2635292,3946064.0,1247800.0,26524.0,2152110.0,81758.72,65.6
Kentucky,1997,31.79786133,123864.0,3952747,20754690.0,2056492.0,43520.0,2780810.0,39486.34,65.2
Louisiana,1997,58.12677612,165519.0,4421071,75914558.0,1918388.0,38099.0,3411020.0,43203.9,76.1
Maine,1997,8.371709792999999,37227.0,1254774,2524004.0,662260.0,13245.0,1058600.0,30842.92,50.0
Maryland,1997,27.80444944,186425.0,5157328,122553272.0,2235236.0,46812.0,3786050.0,9707.24,64.4
Massachusetts,1997,31.976553000000003,254163.0,6226058,351651522.0,2544658.0,50468.0,5070430.0,7800.06,57.4
Michigan,1997,58.54755071,342873.0,9809051,89636926.0,4653028.0,91494.0,8023730.0,56538.9,53.2
Minnesota,1997,31.86815942,180065.0,4763390,68123966.0,2208563.0,49082.0,3927250.0,79626.74,50.7
Mississippi,1997,25.47875385,71397.0,2777004,1548346.0,1457026.0,31519.0,2233800.0,46923.27,73.7
Missouri,1997,43.5780874,189990.0,5481193,70839987.0,2888067.0,62980.0,4350540.0,68741.52,64.1
